iter	Logloss
0	0.6843999723
1	0.676140914
2	0.6679357169
3	0.6612050297
4	0.6542555296
5	0.6489373786
6	0.6435794953
7	0.6392714497
8	0.6344295921
9	0.6307339562
10	0.6265738745
11	0.622827346
12	0.6192808288
13	0.6163763313
14	0.6136465212
15	0.6107648896
16	0.6078039967
17	0.6051025348
18	0.602551309
19	0.6005826739
20	0.5986709748
21	0.5965507114
22	0.5944478732
23	0.5922896037
24	0.590301586
25	0.588935361
26	0.5877024232
27	0.5863278087
28	0.5846224166
29	0.5831465827
30	0.5822056692
31	0.5812061303
32	0.5793424092
33	0.5778215204
34	0.5764023338
35	0.5752385105
36	0.5735655121
37	0.5725069561
38	0.5713505237
39	0.5704568848
40	0.5693886016
41	0.5682472905
42	0.5673499588
43	0.5667111259
44	0.5654075755
45	0.564873447
46	0.5642728882
47	0.563496836
48	0.5626819126
49	0.5622160534
50	0.5615394321
51	0.5607254134
52	0.5599338353
53	0.5593959878
54	0.5588989932
55	0.5580918698
56	0.557496323
57	0.5565985556
58	0.5555312908
59	0.5547792049
60	0.5542990375
61	0.5536704035
62	0.5529954581
63	0.5525943211
64	0.5523103646
65	0.5505060307
66	0.5499784392
67	0.5494044089
68	0.5490045458
69	0.5486364156
70	0.548026305
71	0.5477032505
72	0.5472850605
73	0.5470031582
74	0.5467943914
75	0.5464844504
76	0.5461196844
77	0.5458470355
78	0.5449832008
79	0.5446620362
80	0.5442197898
81	0.5438384462
82	0.5434057353
83	0.5431737165
84	0.5426774038
85	0.5418654451
86	0.5413228547
87	0.5408466438
88	0.5405168516
89	0.5403071234
90	0.5398641768
91	0.539530087
92	0.5392868994
93	0.539041102
94	0.53876896
95	0.5382911738
96	0.5365911382
97	0.5364570669
98	0.5361673702
99	0.5359173611
100	0.5354747972
101	0.5351863445
102	0.5346575682
103	0.5343759746
104	0.5342093281
105	0.5340347889
106	0.5337688734
107	0.5335343626
108	0.5333177913
109	0.532980054
110	0.5327619953
111	0.5323386041
112	0.5321300439
113	0.5318420565
114	0.5316095618
115	0.5312114674
116	0.5309948084
117	0.5307905179
118	0.5304568764
119	0.5301732646
120	0.5299247341
121	0.5297292085
122	0.529593029
123	0.5294228562
124	0.5292043931
125	0.5290100414
126	0.5283901644
127	0.5281914006
128	0.5278985477
129	0.5276774765
130	0.5275143321
131	0.5273222665
132	0.5270954787
133	0.5269410235
134	0.5267882637
135	0.5265659379
136	0.5263164049
137	0.5261088083
138	0.5259203776
139	0.5257267386
140	0.5254521251
141	0.5250348319
142	0.524737262
143	0.5244367524
144	0.5241781927
145	0.5240095594
146	0.5238790998
147	0.5236637348
148	0.523447445
149	0.5233183856
150	0.5231571686
151	0.5229170751
152	0.5227316773
153	0.5223680016
154	0.5220970296
155	0.5218973661
156	0.5217963235
157	0.5215712759
158	0.5213576482
159	0.521026824
160	0.5207750027
161	0.5205181442
162	0.5203797612
163	0.5201110617
164	0.519951953
165	0.5197803919
166	0.5197202228
167	0.5195043586
168	0.5193178414
169	0.5184069247
170	0.5181936454
171	0.5180444082
172	0.517831834
173	0.5176807152
174	0.5174938894
175	0.5166463573
176	0.5164828965
177	0.516265029
178	0.5159818109
179	0.5156231385
180	0.5154861059
181	0.5153628068
182	0.5151650012
183	0.5145114089
184	0.5143104205
185	0.5141748558
186	0.5139913059
187	0.5138461454
188	0.5136016871
189	0.5134423067
190	0.5132744683
191	0.5130349307
192	0.5128429474
193	0.5125609686
194	0.5122951368
195	0.5120929926
196	0.5117585772
197	0.5115675969
198	0.511425774
199	0.5112030542
