iter	Passed	Remaining
0	140	28038
1	145	14447
2	151	9976
3	157	7701
4	162	6336
5	168	5436
6	173	4778
7	178	4276
8	183	3895
9	189	3597
10	195	3353
11	201	3151
12	206	2974
13	212	2819
14	217	2687
15	223	2567
16	228	2461
17	234	2371
18	240	2286
19	244	2204
20	250	2135
21	255	2069
22	261	2010
23	267	1958
24	272	1908
25	278	1861
26	283	1817
27	289	1775
28	294	1735
29	299	1697
30	304	1662
31	310	1629
32	316	1600
33	322	1572
34	328	1550
35	334	1524
36	340	1499
37	345	1474
38	351	1450
39	356	1427
40	361	1403
41	367	1382
42	372	1361
43	378	1341
44	383	1321
45	389	1302
46	394	1283
47	400	1266
48	405	1249
49	410	1232
50	416	1217
51	422	1201
52	427	1185
53	433	1170
54	438	1156
55	444	1143
56	450	1130
57	456	1118
58	462	1105
59	467	1091
60	473	1078
61	478	1066
62	484	1053
63	489	1039
64	494	1027
65	500	1016
66	505	1003
67	511	992
68	516	981
69	522	969
70	528	960
71	534	949
72	539	938
73	545	929
74	551	919
75	557	910
76	564	902
77	573	896
78	579	887
79	584	876
80	589	865
81	594	856
82	600	846
83	605	836
84	611	827
85	617	818
86	622	808
87	628	799
88	633	790
89	639	781
90	644	772
91	650	763
92	655	754
93	661	746
94	667	737
95	672	728
96	678	720
97	684	712
98	689	703
99	695	695
100	701	687
101	706	679
102	712	671
103	717	662
104	722	653
105	729	646
106	734	638
107	740	630
108	746	622
109	751	615
110	757	607
111	762	599
112	768	591
113	773	583
114	779	576
115	785	568
116	791	561
117	797	554
118	803	546
119	809	539
120	814	532
121	820	524
122	826	517
123	831	509
124	837	502
125	843	495
126	848	487
127	854	480
128	861	473
129	869	468
130	875	460
131	882	454
132	888	447
133	895	441
134	900	433
135	906	426
136	911	419
137	917	412
138	923	405
139	928	398
140	934	390
141	940	384
142	945	376
143	950	369
144	957	363
145	962	356
146	968	349
147	974	342
148	979	335
149	984	328
150	990	321
151	996	314
152	1001	307
153	1008	301
154	1014	294
155	1019	287
156	1025	280
157	1030	273
158	1036	267
159	1042	260
160	1048	253
161	1054	247
162	1060	240
163	1065	233
164	1070	227
165	1077	220
166	1082	213
167	1088	207
168	1094	200
169	1100	194
170	1106	187
171	1112	181
172	1117	174
173	1123	167
174	1129	161
175	1135	154
176	1140	148
177	1145	141
178	1151	135
179	1157	128
180	1162	122
181	1167	115
182	1173	109
183	1179	102
184	1184	96
185	1190	89
186	1196	83
187	1201	76
188	1207	70
189	1212	63
190	1218	57
191	1224	51
192	1229	44
193	1235	38
194	1241	31
195	1246	25
196	1252	19
197	1257	12
198	1263	6
199	1268	0
